N,Название,Цена,Метро,ссылка
5,"Рабочий 4.7"" HTC One Dual Sim смотри описание",1 000 руб.,,https://www.avito.ru/moskva/telefony/rabochiy_4.7_htc_one_dual_sim_smotri_opisanie_924104685
6,HTC One M8,4 000 руб.,Савеловская,https://www.avito.ru/moskva/telefony/htc_one_m8_924096663
7,Чехол для HTC m9,100 руб.,Курская,https://www.avito.ru/moskva/telefony/chehol_dlya_htc_m9_823466737
8,HTC One 32Gb black (не заряжается),3 500 руб.,Царицыно,https://www.avito.ru/moskva/telefony/htc_one_32gb_black_ne_zaryazhaetsya_629462747
10,HTC Hero,500 руб.,,https://www.avito.ru/moskva/telefony/htc_hero_906613638
11,Аккумулятор HTC BG32100,500 руб.,,https://www.avito.ru/moskva/telefony/akkumulyator_htc_bg32100_860077474
12,Htc one e8,12 800 руб.,,https://www.avito.ru/moskva/telefony/htc_one_e8_924088501
13,HTC One SV,2 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_sv_924087317
14,Htc one x beats audio,5 000 руб.,Новогиреево,https://www.avito.ru/moskva/telefony/htc_one_x_beats_audio_924084851
15,Чехол для HTC incredeble S,500 руб.,Пражская,https://www.avito.ru/moskva/telefony/chehol_dlya_htc_incredeble_s_152945190
16,Новый пластиковый чехол для HTC One V,500 руб.,Пражская,https://www.avito.ru/moskva/telefony/novyy_plastikovyy_chehol_dlya_htc_one_v_173583531
17,HTC One X9 Dual Sim новый,15 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_x9_dual_sim_novyy_923946445
18,HTC Incredible S,2 300 руб.,,https://www.avito.ru/moskva/telefony/htc_incredible_s_853775439
20,HTC 620 dual sim,8 800 руб.,,https://www.avito.ru/moskva/telefony/htc_620_dual_sim_924073035
21,HTC ONE mini 2,2 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_mini_2_924070185
22,Зу Vivanco Hama Philips Samsung Sony HTC One S,800 руб.,Новокосино,https://www.avito.ru/moskva/telefony/zu_vivanco_hama_philips_samsung_sony_htc_one_s_620051871
23,Сенсорное стекло и дисплей T Mobile HTC,1 500 руб.,Римская,https://www.avito.ru/moskva/telefony/sensornoe_steklo_i_displey_t_mobile_htc_156823943
24,HTC desire 526 dual sim,5 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_526_dual_sim_924062965
26,Чехол для телефона HTC Desire 610,500 руб.,,https://www.avito.ru/moskva/telefony/chehol_dlya_telefona_htc_desire_610_662288110
27,HTC One M8 32Gb (grey gold silver),12 990 руб.,проспект,https://www.avito.ru/moskva/telefony/htc_one_m8_32gb_grey_gold_silver_781287925
28,Смартфон HTC HD2 T8585 RUS,5 000 руб.,,https://www.avito.ru/moskva/telefony/smartfon_htc_hd2_t8585_rus_924043294
30,HTC one M8 RED,5 900 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m8_red_881698366
31,Гарнитура HTC и Nokia,50 руб.,,https://www.avito.ru/moskva/telefony/garnitura_htc_i_nokia_859081821
32,Htc,1 000 руб.,Кузьминки,https://www.avito.ru/moskva/telefony/htc_765081003
33,Htc Desire V,600 руб.,Зябликово,https://www.avito.ru/moskva/telefony/htc_desire_v_924022839
34,Смартфон HTC 10 EVO EEA Gunmetal,22 900 руб.,,https://www.avito.ru/moskva/telefony/smartfon_htc_10_evo_eea_gunmetal_924021723
35,HTC One A9s EEA Cast Iron,11 900 руб.,,https://www.avito.ru/moskva/telefony/htc_one_a9s_eea_cast_iron_924020246
36,HTC incredible S в прекрасном состоянии,3 000 руб.,,https://www.avito.ru/moskva/telefony/htc_incredible_s_v_prekrasnom_sostoyanii_924008285
37,HTC sensation в отличном состоянии комплект,3 000 руб.,,https://www.avito.ru/moskva/telefony/htc_sensation_v_otlichnom_sostoyanii_komplekt_924007604
38,Черный чехол для HTC Desire 816,300 руб.,,https://www.avito.ru/moskva/telefony/chernyy_chehol_dlya_htc_desire_816_736823613
41,Чехол - книжка Dot View - Premium HTC One M9 Plus,900 руб.,,https://www.avito.ru/moskva/telefony/chehol_-_knizhka_dot_view_-_premium_htc_one_m9_plus_763441897
42,HTC one M7,6 500 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m7_846638836
43,HTC desire 700 по частям на разбор,100 руб.,Беговая,https://www.avito.ru/moskva/telefony/htc_desire_700_po_chastyam_na_razbor_908173903
